PMID,AbstractText
1135138,Important populations of Staphylococcus aureus were found to be present on the body surfaces of live poultry originating from flocks without history of staphylococcal disease.  Their sized increased considerably until approximately the seventh week of life after which time they were maintained at equally high levels.  Significant correlations were found between the populations recovered from superficial wash samples and skin-tissue samples.  Similarly the numbers isolated from the nasal cavities were correlated with other surface counts.  Low numbers were present in the intestinal tract.  Birds with staphylococcal synovitis had higher numbers in all sampling regions.  The counts were very high in subjects suffering from staphylococcal dermatitis.  Higher rates of positive birds and higher numbers of staphylococci were detected with a whole body sampling method than with a nasal swab technique.  The isolates obtained in this study belonged to the S. aureus biotype B which is associated with poultry and pigs.
1135254,"This study was designed to investigate  nonverbal communication in a physical therapy setting. The investigation was accomplished by observing patient-physical therapist interaction during treatment sessions, recording nonverbal behaviors capable of communicating, and interviewing the patient and therapist to discuss the nonverbal communication that occurred during the treatment. Nonverbal communication was present in the physical therapy setting, although both patient and therapist were aware of nonverbal behavior only 50 percent of the time. Nonverbal communication was used to maintain or establish an emotionally supportive treatment setting and to clarify or explain treatment instruction. Nonverbal communication in this setting and for these purposes was deemed effective."
1135255,"Graduates of the physical therapist assistant program at St. Mary's Junior College in Minneapolis, Minnesota, were studied to ascertain how well prepared they had been for the demands of their jobs and to discover what revisions in the program curriculum might be appropriate. Working graduates and their supervisors were surveyed to obtain information about the frequency and independence of performance of 111 tasks appropriate to physical therapy departments. The response was 90 percent. The St. Mary's curriculum was considered appropriate in most respects. More than 25 percent of the supervisors considered emphasis inadequate only for facilitation, breathing, and mat exercises. Graduates' recommended changes were more extensive, suggesting a desire to expand their knowledge. A manual was designed to guide program faculties through follow-up of their own graduates. The manual includes questionnaires, worksheets, and a guide to analysis. The authors suggest that the process may also be useful for other technical-level allied health occupations."
1135256,"This case study presents a young woman who was admitted to our facility in an emaciated physical condition. She had multiple pressure sores and severe contractures about the neck, trunk, and lower extremities, necessitating dependence in all care. Slow but consistent progress was noted trhoughout a four-month aggressive rehabilitation program. The various treatment approaches and resulting functional gains are detailed."
1135260,Sixty-two physical therapy schools were surveyed reageding their teaching of cardiopulmonary resuscitation. Eighty-two percent of the schools responded to the questions and 27 percent indicated no such instruction. Included in this report is a copy of the questionnaire and the results of the survey. The recommendation is made that all physical therapists receive adequate training in cardiopulmonary resuscitation and that their competency be confirmed by examination.
1135261,"Assessment of a standardized test as one criterion for student admission to a physical therapist assistant program is made. Comparisons are made of ACT scores between the physical therapist assistant and associate degree nurse, and the physical therapist assistant and the practical nurse. A correlation matrix was used to analyze data with differences among the three groups determined by t test computation. This sample supports a positive correlation of ACT test scores with graduation grade point average. The means show no significant difference between the two associate degree programs and a significant difference between the associate degree programs and the practical nurse program."
1135262,A new method for monitoring the durations of foot-floor contact during walking is described. The method uses a screen walkway and conducting paper on the soles of the shoes as parts of an electrical circuit. The materials used are identified and circuit diagrams are provided. Several clinical applications and advantages and disadvantages of the method are discussed.
1135263,The rationale and format for a part-time program in undergraduate physical therapy are presented. The part-time program allows students to gain credit for prior related experience or training and to pursue professional education while continuing to work. Part-time study is a viable alternative that should be considered in physical therapy education.
1135358,"Changes in health and in behavior related to health-illness were described in men whose jobs were abolished because of a permanent plant closing. Fluctuations in several measures based on a 2 week health diary (Days Complaint, Days Disability, Percent Days Complaint That Are Also Days Disability, Days Saw Doctor, Days Used Drugs), as well as in other indicators (Symptoms, Depression, Dissatisfaction with Social Support) were analyzed as the men went through the various phases of anticipation, plant closing, unemployment and re-employment. Differences in the objective and subjective severity of the experience, in the social setting of the plant closing (urban vs. rural) and in selected personal characteristics were also examined for their influence on the changes in the various health-related measures."
1135360,"A predominantly white, middle class sample of pregnant women (N = 93) completed the AACL (Anxiety), the DACL (Depressive Mood), the SCL (Somatic Symptoms) and the IPAT Anxiety Questionnaire at the second, fifth and eighth months of pregnancy. A menstrual history questionnaire was administered on the first testing occasion. Analyses revealed that anxiety varied significantly as a function of trimester and that previous pregnancy history interacted significantly with trimester. Depressive mood was not significantly affected by any of the sources of variation. Correlational analysis (average correlations over trimesters) indicated significant relationships between somatic symptoms and anxiety, but not between somatic symptoms and depressive mood; a small but significant relationship between history of menstrual complaint and somatic symptoms; and a significant negative correlation between education and overt anxiety."
1135359,"Reactions of black, white and Puerto Rican patients were studied in an outpatient dental emergency clinic. Measures used included the State-Trait Anxiety Inventory, palmar sweat prints, an interview to obtain patient characteristics and attitudes toward pain, Dental Anxiety Scale and a posttreatment dentist rating. No differences between ethnic and racial groups were obtained in amount of pain, number or type of symptoms patients had. Significant Trait Anxiety differences were obtained. Puerto Ricans had the highest level of Trait Anxiety, whites the lowest, with blacks in the middle. The Dental Anxiety Scale also yielded differences with Puerto Ricans scoring highest, blacks lowest and whites in between. Attitude differences reflected a relative willingness to deny, get rid of or avoid dealing with the pain. The Puerto Ricans scored highest, whites lowest, with blacks in between. No physiological differences were obtained with palmar sweat prints."
1135397,"Pre-operative localization of parathyroid tumours on primary hyperparathyroidism is discussed. 20 patients were examined in this way. Of the 15 patients who were operated on, the pre-operative findings of 12 correspond with the results of operations and histological examinations. These results correspond with what is known from other publications. Preoperative localization by means of venous sampling is possible in a large number of cases. The examination is especially important in patients with previous neck exploration."
1135399,"A 99mTc pertechnetate thyroid uptake procedure, using a scintillation camera and a data storage system, is described. After comparison of extrathyroidal activity in several regions below the thyroid, activity in the clavicular regions was preferred for correction of the thyroid uptake measurement. No pertechnetate uptake curve obtained over the initial 15 min after injection was found to be representative of a specific thyroid function, and regional thyroid uptake curves gave only quantitative differences. The 15-min pertechnetate thyroid uptake measurement, with correction for clavicular extrathyroidal activity, correlates well with 131I uptake and is a good parameter of thyroid function, especially in the distinction of euthyroidism and hyperthyroidism."
1135402,Distribution of damage caused by the retained 226-Ra to the femoral haemopoiesis has been studied in mice injected with 0.02 and/or 0.09 muCi of 226-Ra/g. The exocolonizing test and the 59-Fe uptake in recipient spleens have been used. Non-uniform radiation effect has been observed in the bone marrow cellularity as well as in the CFU counts within 10 weeks after nuclide injection. The lowest depression appears in the distal femoral ends. The changes are not so serious in the proximal parts and are only moderate in the shafts. The results have been discussed from several standpoints.
1135403,"Although the usefulness of radiation in treatment of many embryonal rhabdomyosarcomas is recognized, the pleomorphic rhabdomyosarcomas are frequently felt to be radioresistant and thus a potentially useful mode of therapy is overlooked. There is increasing evidence in the literature to document successful local management of pleomorphic rhabdomyosarcomas with radiation. The literature is reviewed briefly and a case of rhabdomyosarcoma of the heart is reported in which radiation in doses well tolerated by normal tissues successfully controlled several local lesions at various sites until the patient's demise from widespread disease 2 years after the initial treatment."
1135404,"Dilatation of bile duct strictures under fluoroscopic control has become feasible in patients with indwelling T-tubes. Utilizing the steerable catheter designed for stone extraction, the technique is modified with addition of balloon catheters and other instruments for dilatation. The new technique is described and our initial experiences in seven patients are presented."
1135405,"The procedure is performed in two stages. First, during the radiographic exposure, the patient is rotated in relation to the X-ray tube and a recording device, namely a cinefluorographic device or a television chain with a video-recorder. In practice the tube and the recording device will be revolved around the patient. Later on, in the second stage, the cinefluorographic image, or the television image of the rotating patient, is projected onto a photographic film. If this film is adequately rotated, a tomographic picture will be produced. The method can be applied to conventional tomography, zonography, transverse tomography, autotomography and orthopantomography."
1135406,The stone extraction basket is suitable for biopsy of protruding mucosal lesions in the biliary duct system. Exact placement of the instrument over the lesion is readily accomplished under roentgenologic control. The technique is illustrated in one patient with biopsy of an iatrogenic mucosal tag in the distal common duct.
1135407,"Angiographically demonstrated combined and complex angiodysplasias of the vertebrobasilar system are rare. As in our case, they can be attributed to a vascular maldevelopment in several consecutive embryonal stages: the angioma-like arterial network of the left posterior cerebral artery and the non-union and overcrossing of the vertebral arteries in the region of the prepontine cistern represent an early defect (up to 15 mm stage); the aneurysmatic ectasia of the right vertebral artery with a second pedunculated aneurysm at its uppermost part may be due to a later defect (up to 40 mm stage) of the cerebral vascular development."
1135408,"Results of radiation therapy in 85 patients with squamous cell carcinoma of the esophagus are presented. Whereas the majority of patients with this tumor have been shown to die within the first year, occasional patients may survive longer (21.5 percent in this series); late radiation complications must therefore be maintained at a minimum. A localization technique to evaluate esophageal mobility away from the spinal cord is described."
1135409,"A randomized clinical trial of atmospheric oxygen breathing during radiotherapy of advanced cancer of the tonsillar region has been conducted. In order to achieve a high level of inspired oxygen, a closed system with a ""head tent"" was used. Over 2 years after treatment, 30 percent of the oxygen patients survived without evidence of disease compared to 17 percent in the control group."
1135410,"The contributions of radiation therapy to the management of the patient with cancer are constantly changing, both because of improving use of ionizing radiations and development of other effective treatments. Therefore, if radiation therapy is to be used to each patient's advantage, well-trained radiation oncologists must be involved in the initial and all subsequent management decisions. Such essential activity requires the immediate availability of trained physicians, who have access to adequate facilities in order to provide the best known treatment methods. This availability in turn depends on physician recruitment and training, well-considered development and maintenance of facilities and research programs which are well correlated with clinical activity."
1135421,"Techniques for the growth of uniformly reacting populations of cysts of Acetabularia mediterranea and for quantitative measurement of cyst germination have been developed. Cysts of A. mediterranea can be induced to germinated by exposure to the atmosphere. Germination rates are very low in young cysts. They increased during exposure to total darkness. This ""maturation of cysts"" is found to be completed after a period of 12-15 weeks. Germination rates of cysts that have passed the maturation period exceed 90 percent in continuous white light and 80 percent in darkness. Cysts germinate in less than two days in darkness and less than four days in light. The influence of temperature at a range of 15 degrees C to 25 degrees C on germination kinetics is studied in light and darkness. Germination is accelerated with increasing temperature up to 21 degrees C. At higher temperature germination is delayed in light but the time of germination remains constant in darknesss. Rates of germination are not altered by the influence of temperature in light while in darkness there is a dramatic decrease at temperatures higher than 21 degrees C. From these findings it is concluded that cyst germinationA. mediteranea does not need any light but is influenced by light dependent systems. The influence of light is strongest at elevated temperatures."
1135423,"In isolated perfused rabbit hearts, coronary vasodilation, produced by reduced oxygen tension seems to be independent of myocardial prostaglandin biosynthesis. a) Anoxia (N2: CO2 95: 5 %) produced coronary vasodilation without causing prostaglandin-like substance (PLS) biosynthesis and release; b) the decrease in coronary resistance during hypoxia (N2:02:CO2 - 80:15:5 %) was sustained during myocardial perfusion with the low oxygen media despite the transitory nature of its PLS release; and c) indomathacin, which abolished basal or ADP stimulated myocardial PLS release, did not abolish the coronary vasodilation produced by ischemia, hypoxia, or anoxia."
1135424,"Incubation of A type prostaglandins with whole blood or washed red cells at 37 degrees C converted them to more polar products with negligible vasodepressor and smooth muscle-contracting activities. This conversion did not occur in platelet-rich plasma. Uptake of the prostaglandins by red cells was demonstrated at both 4 degrees C and 37 degrees C. The data suggest 1) that if PGA is released from tissues into the blood stream or is administered for therapeutic purposes, its biological activity would be diminished by human red cells, and 2) that development of an assay for PGA in blood should take into account its uptake and metabolism by human red cells."
1135425,"[9beta- -3H]-17-Phenyl-18,19,20-trinor-PGF2alpha was injected subcutaneously into female Cynomolgus monkeys and the structures of six products appearing in the urine were determined. The main urinary metabolites were the dinor- and tetranor-derivatives of 15-keto-13,14-dihydro-17-phenyl-18,19,20-trinor-PGF2alpha. Unchanged 17-phenyl-18,19,20-trinor-PGF2alpha was also identified among the urinary products, as well as its dinor- and tetranor-derivatives. Finally, the dinor-derivative of 13,14-dihydro-17-phenyl-18,19,20-trinor-PGF2alpha was also found in urine. The same six products were also found in urine from human female subjects that had received 17-phenyl-18,19,20-trinor-PGF2alpha either subcutaneously or intravenously. Studies on the half-life of the compound in the circulation were also performed in human females. Two less polar metabolites in plasma were identified, viz. 13,14-dihydro-17-phenyl-18,19,20-trinor-PGF2alpha and 15-keto-13,14-dihydro-17-phenyl-18,19,20-trinor-PGF2alpha."
1135426,"The purpose of this work was to investigate the effect of oxytocin on prostaglandin F (PGF) concentrations in uterine venous effluent. PGF was measured in utero-ovarian venous plasma from three pregnant ewes and in posterior vena caval plasma from two puerperal ewes, during oxytocin administration. Oxytocin caused 4.9 - 5.3-fold increases in PGF concentrations in the pregnant animals, the response increasing towards term. In the puerperal animals oxytocin caused 3.7 - 17.2-fold increases in PGF concentrations with a marked latency in the response. Measurement of uterine activity and progesterone and total unconjugated oestrogen concentrations indicated that neither uterine contractions nor a decreased uterine blood flow accounted for the elevated PGF levels stimulated by oxytocin."
1135429,"Pregnancy had been terminated in 6 normal midtrimester pregnant patients by the extraovular injection of 10 mg prostaglandin F2alpha (PGF2alpha). In these 6 Experimental and 3 Control patients utero-placental blood flow had been measured, by changes in the density of radioactive Indium, distributed over the uterine area, as a function of time. In comparison with Controls utero-placental blood flow decreased in the Experimental patients already at 5 minutes after PG-treatment, long before advanced cyclic IUP evolved. This finding substantiates the conclusion (1-3), based on experiments in animal ""models', that decrease in utero-placental blood flow is an early step in the mechanism of PG action."
1135430,"A single injection of prostaglandin F1 (PGE1) of 5 mg/kg body weight on Lay 13 of pregnancy caused a consistent luteolysis and resorption of fetuses in rats by Day 20. A concomitant regimen of cortisone, a consistent blocker of nonspecific stresses or reserpine, an adrenergic nerve blocking agent as well as a specific inhibitor of GRF and PIF, concurrently with PGE1 consistently effective in preventing the deleterious efficacy of PGE1 and maintained the growth of the fetuses, placentae, ovaries and corpora lutea as healthy as recorded in the controls. On the basis of experimental documentation it is believed that the PGE1-caused fetal demise is possibly due to a break up of an appropriate hormonal synchronization rather than an over stimulation of uterine smooth musculature."
1135431,"The biological activities of 8,12-diiso-PGE2 (ent-11,15-epi-PGE2), PGE2 and PGF2alpha have been compared in a series of pharmacological preparations intended to differentiate between F and E type of activity. Similar to PGF2alpha but unlike PGE2, 8,12-diiso-PGE2 increased the tone of isolated smooth muscle preparations of guinea pig trachea, guinea pig colonic circular layer, rabbit Fallopian tubes. The stimulation effect of 8,12-diiso-PGE2 and PGF2alpha on visceral smooth muscle was also shown in vivo: the two drugs were in all instances able to increase the miogenic activity and tone of rabbit uterus in situ, while these were depressed by PGE2. 8,12-diiso-PGE2 decreased pulmonary compliance and increased pulmonary vascular resistance in the anaesthetized cat; PGE2 always decreased pulmonary vascular resistance, while leaving pulmonary compliance unaltered. The possibility is suggested that 8,12-diiso-PGE2 acts on PGF receptor in different tissues."
1135432,"Both sphincter and dilator muscle preparations of the cat iris contract to prostaglandins; F-2alpha and E-2 are the most potent and A-1 and B-1 the least. Ciliary muscle strips relax to PG'S provided that the strips are precontracted. E-1, E-2 and often F-2alpha are more potent relaxants than the remaining PG's. The effects of PG'S ARE NOT ALTERED BY ALPHA OR BETA BLOCKADE NOR BY ATROPINE; HOWEVER, PROPRANOLOL BLOCKS THE PG induced relaxation of the ciliary muscle. The effects of PG's on the sphincter are antagonized by catecholamines; but the latter act synergistically in contracting the dilator and in relaxing the ciliary muscle. Indomethacin markedly potentiates the effects of PG's on all three muscle preparations."
1135433,"Distinct structural changes occur in the rabbit ciliary epithelium following intravitreal injection of prostaglandin E-1 (PGE-1). Up to four hours after PGE-1 administration, alteration of the pigmented epithelium was characterized by dilated intercellular spaces and the disruption of many intercellular junctions. The nonpigmented epithelium demonstrates a spectrum of morphologic variation from only some thinning of cytoplasmic processes to area of severe distortion. In these regions, marked thinning of the nonpigmented cells occurs in association with an absence of apical tight junctions. This alteration of the nonpigmented epithelium and its tight junctions allows for the leakage of proteins into the posterior chamber which is consistent with the breakdown in the blood-aqueous barrier. The temporal sequence of these changes would suggest a differential susceptibility of the pigmented and nonpigmented layers with the pigmented layers being affected earliest and the nonpigmented epithelium altered subsequently. The recovery of this epithelial change was rapid and complete and demonstrated the transient effects of PG on the ciliary epithelium with recovery of the blood-aqueous function by 8 hours after injection."
1135434,"Topical administration of aqueous solutions of sodium arachidonate to the eyes of rabbits increases intraocular pressure, constricts the pupil and increases both the protein and prostaglandin content of aqueous humor. Arachidonic acid itself dissolved in arachis oil is less effective than sodium arachidonate, although addition of polysorbate mono-oleate greatly increases the effects produced by arachidonic acid. Pretreatment with topically applied non-steroidal anti-inflammatory agents prevents the ocular effects of sodium arachidonate, indomethacin being 2-4 times as potent as either indoxole or pirprofen. Dexamethasone was without effect in these experiments. The results suggested that nonsteroidal anti-inflammatory agents deserve serious consideration for topical use in the treatment of ocular inflammation."
1135435,"Prostaglandin F2alpha concentrations were measured in human cerebrospinal fluid by the gas-chromatography-mass spectrometric technique using 2-H4-PGF2 alpha as internal standard and carrier. Normal levels of 71.6 plus or minus 34.7 pg/ml were found. Considerable increases in PGF2 alpha concentrations were found in patients with epilepsy, meningtitis or following cerebrovascular accidents or neurosurgical removals of brain tissue. The results agree in general with recent measurements using radioimmunoassay."
1135436,"In isolated rabbit lung preparations perfused with tritiated PGE-1, it was found that, (1) PGE-1, is rapidly and almost completely metabolized during perfusion through rabbit lung. (2) During perfusion, there is no net uptake of PGE-1. (3) The process of metabolism of PGE-1 in the rabbit lung is inhibited by hypothermia."
1135437,"The effect of locally administered prostaglandin F2alpha on the sensitivity and reactivity of the nonpregnant human uterus during the menstrual cycle was studied. An increase in uterine contractility in response to as little as 1.0 MUG PGF2alpha could be observed in all patients during both the early and late portions of the menstrual cycle, but at the time of ovulation a marked decrease in sensitivity was noted. Endogenous prostaglandin normally occurs in the secretory endometrium in levels compatible with the amount of exogenous prostaglandin which elicited increased uterine activity. These findings support the hypothesis that PGF2alpha plays an important physiological role in the cyclical regulation of uterine motility during the human menstrual cycle."
1135438,"The uterotonic potency of seven prostaglandin analogues has been investigated using the single intravenous injection technique and comparison of threshold uterine contractility achieved during continuous intravenous infusion. The degree and duration of uterine stimulation in response to graded doses of some of the analogues was also evaluated following intra-amniotic, oral and vaginal administration. 17-Phenyl substituted PGE-2 and PGF-2alpha are reported upon for the first time. Among the prostaglandin compounds tested, the free acid of 16, 16-dimethyl PGE-2 not only is the most potent compound but it may also have great potential for clinical application as an easily administered vaginal abortifacient."
1135439,"Induction of abortion in mid-trimester pregnancies were performed on 26 patients. The first 12 patients were treated by intra-amniotic instillation of Prostaglandin F2 alpha, with a mean dosage of 40.2 mg. and mean abortion time of 24 hours and 41 minutes (ten patients). Fourteen additional mid-trimester abortions were performed using identical protocol plus the addition of oxytocin by intravenous infusion two hours after injection of the prostaglandin. All patients aborted, with mean dosage of PGF2 alpha of 28.2 mg. and mean abortion time of 15 hours and 37 minutes."
1135440,"Slices of human endometrium obtained from hysterectomy specimens were cultured for 48 hours in an organ culture medium supplemented with ethanol (control, vehicle), 17-beta-estradiol (.5 mug/ml), or progesterone (.5 mug/ml). Uncultured endometrial tissue, cultured tissues, and the media were assayed for prostaglandin F (PGF) by a radioimmunoassay technique. Hematoxylin and eosin and periodic acid-Schiff stain histologic controls were done on all tissues. The concentrations of PGF in picograms/milligram, corrected for percent recovery, in the differently treated tissues were: preculture 298; culture control 2210; estrogen-treated 2680; progesterone-treated 1260. All differences except those between estrogen and control (p greater than .10) and progesterone and control (p less than .10) are significant at the p = .02 level or better. Progesterone appears to inhibit PGF synthesis which occurs during in vitro culture of human endometrium; estrogen tended to increase PGF synthesis in this system."
1135441,"The concentration of prostaglandins E and F in different parts of the male reproductive system of CD-1 and dwarf mice was measured by radioimmunoassay. In intact CD-1 mice, the vas deferens contained a significantly higher concentration of PGE and PGF than was found in the epididymis and in the seminal vesicles. All tissues studied had more PGE than PGF. Castration resulted in increased PG concentrations in both the epididymis and the seminal vesicles and decreased PG concentrations in the vas deferens. There was also a differential response of PGE and PGF in the epididymis of genetically sterile dwarf mice (dw/dw) were significantly higher than those observed in their normal littermates ((PLUS)). A reversed PGE/PGF ratio was found in the mates. The results indicate that testicular androgens affect the levels of PGE and PGF in the reproductive system of male mice. The physiological role of PGs in male reproductive functions has not been established, but there is a suggestion that PH have a role in controlling the transit of spermatozoa through the epididymis and vas deferens."
1135442,"The prostaglandin synthesis inhibitors, indomethacin and eicosa-5,8,11, 14-tetraynoic acid (ETA), have been tested on the isolated lamb ductus arteriosus at low and high PO2 levels. Both compounds produced a gradual contraction of the hypoxic vessel, and at equal doses the effect of indomethacin was stronger. The maximal tension output of the hypoxic tissue under indomethacin was equal to that of the oxygen-contracted control. ETA- and indomethacin-treated preparations contracted further upon transfer from a low to a high oxygen environment, and the response under indomethacin exceeded a significantly control values. Control preparations were relaxed markedly by PGE2 in low oxygen but showed little or no response in high oxygen. In contrast, preparations pretreated with the inhibitors retained their sensitivity to PGE2 during exposure to high oxygen. The data are consistent with the idea that E-type prostaglandins play a role in the regulation of the intrinsic tone of the ductus arteriosus during foetal life. It is also suggested that the sensitivity of ductal muscle to E-type prostaglandins is controlled by the rate of endogenous prostaglandin formation."
1135443,"Prostaglandins (PGs) F2alpha, E1 and E2 exerted a triphasic influence on the fluid transport of isolated guinea-pig gall-bladders, when applied to the serosal side. PGE1 and PGE2 produced these effects in lower concentrations than F2alpha. Directly after PG addition to the serosal side a short stimulation of fluid transport to between 200 and 400% was observed. The stimulatory effect of PGs was most distinct in gall-bladders from female guinea-pigs, less pronounced in male and nearly absent in pregnant animals. Since PGs increased intraluminal hydrostatic pressure in gall-bladders by contraction of the smooth muscle, experiments were performed in which hydrostatic pressure was increased by different procedures. These included the addition of imidazole (10- minus 2 M), raising of K+ in the bathing solution and an increase in intraluminal pressure by addition of Ringer's solution into the lumen. All three procedures stimulated fluid reabsorption temporarily in the same way as PGs, hence increase of intraluminal pressure is thought to be the reason for the observed temporary stimulation of fluid transport. Direct evidence for this thesis was obtained when the gall-bladder was mounted as a flat sheet over a chamber; in this preparation no stimulation of fluid transport was obtained. The second phase of the PG influence was characterized by a concentration-related inhibition of fluid reabsorption followed by a significant but small reverse of fluid transport (secretion of fluid). When PGs were applied to the mucosal side, only an inhibition of fluid transport was observed, which was much weaker compared to the addition to the serosal side."
1135444,"Radioimmunoassay systems are described which have been developed to quantitate two principle urinary metabolites of PGF2alpha; 9alpha,11alpha-dihydroxy-15-oxo-2,3,4,5-tetranorprostanoic acid (I) and 9alpha,11alpha-dihydroxy-15-oxo-2,3,4,5-tetranorprosta-1,20-dioic acid (II). Preparation of the required metabolites was achieved by total synthesis (I) or by bioconversion (isolation from urine of animals treated with 15-keto-PGF2alpha, II). These metabolites were used to prepare conjugates for immunization. Labelled metabolites, suitable as binding markers, were prepared by metabolism of 3-H-PGF2alpha in vitro (I) or in vivo (II). Specificity of the resulting antibodies was compared to an antibody to PGF2alpha and to 13,14-dihydro-15-keto PGF2alpha. Antisera of II had little or no affinity for 20-carbon precursors (PGF2alpha or 13,14-dihydro-15-keto PGF2alpha), but had nearly equal affinity for metabolite I. Antisera of I, however, had little or no affinity for antigen of II. Therefore, analysis of samples by both assay systems enables quantitation of these excretion products of PGF2alpha. Other assay parameters (binding, affinity, recovery, precision and the repeatability of the assays) were similar to those previously described for other RIA systems, and were considered satisfactory for quantitation of compounds in biological fluids. Quantitation of 24 hour urinary excretion of di-acid metabolite in humans was in close agreement with previously published values determined by physical-chemical means. Greater quantity of di-acid metabolite was excreted by human males (42.0 mug/24 hr) than by females sampled either during the follicular (20.0) or luteal phase (21.2) of the menstrual cycle. The total quantity of C-16 metabolites (as approximated by system II) excreted/kg body weight by the rhesus monkey was similar to that excreted by the human. However, the ratio of di-acid to monoacid was much nearer unity in the monkey than the human."
1135445,"A sensitive and relatively specific radioimmunoassay for 15 (S) 15 methyl prostaglandin F-2alpha has been developed to enable the measurements of the concentrations of the drug in biological fluids after its administration for therapeutic abortion. The precision, accuracy and specificity of the assay are described."
1135507,"The acute and chronic effects of morphine on the turnover of norepinephrine (NE) were determined by measuring the changes in the levels of the sulfate conjugate of 3-methoxy-4-hydroxyphenylglycol (MHPG-SO4) in rat brain. Two hours after administration, morphine produced a dose-related increase in the levels of MHPG-SO4 suggesting an increase in NE turnover. The effect of morphine was evident by one hour after drug administration and was maintained for at least four hours but disappeared by eight hours. Chronic treatment with morphine resulted in lower baseline levels of MHPG-SO4 and the development of tolerance to its acute effect on NE turnover. These findings suggest that after chronic administration of morphine, the maintenance of a normal rate of norepinephrine turnover in brain is dependent upon the continued administration of maintenance doses of morphine."
1135508,"Among the major metabolites of aflatoxin B1 produced by human and monkey livers in vitro is a derivative with the ketone carbonyl on the cyclopentane ring reduced to a secondary alcohol, and a hydroxyl introduced onto the carbon beta to the alcohol group. The metabolite was formed from aflatoxin B1 at a level similar to that of aflatoxin M1.Both the microsomal hydroxylase and the cytoplasmic reductase systems are required for its formation. Bioassay using chicken embryos and a mutant of Salmonella typhimurium revealed no toxicity. This newly identified metabolite was named aflatoxicol H1."
1135509,"Using an empirical method, three preferred conformations for serotonin have been predicted. These three conformations corresponding to one extended form (phi equal to 80 degrees, psi equal to 180 degrees), and two folded forms (phi equals to 280 degrees, and psi equals to 100 degrees, phi equals to 100 degrees psi equals to 290 degrees). The calculated intramolecular distances in both forms agree with those obtained by the X-ray crystallography of various indoleamines. Furthermore, the dual receptor binding activity of serotonin has been explained in terms of extended and folded conformations."
1135510,"Urine samples from comatose patients, identified as having taken large amounts of the drug, glutethimide, were analyzed using gas chromatography, mass spectrometry, thin layer chromatography, and nuclear magnetic resonance spectrometry in order to identify metabolites of the parent drug. The phenolic compound 2-ethyl-2-(4-hydroxphenyl)-glutarimide was fully characterized as a new metabolite in human urine. Also 2-ethyl-2-(3-methoxy-4hydroxyphenyl)-glutarimide was proposed as a new metabolite of the parent drug. Other polar metabolites of the parent drug were also detected and partially characterized."
1135511,"Some sympatholytic agents have been tested for the ability to counteract either the hepatotoxic or the lethal effect of A. phalloides in rats. Propranolol displayed a marked preventive action on the liver damage induced by the poison, but only a moderate influence on the lethality. Reserpine was uneffective in terms of liver derangement, but exerted some protection against the general toxic effect of A. phalloides. Other alpha- or beta-adrenolytic compounds failed to afford any significant protection with respect to both liver injury and lethality. It is suggested that propranolol might interfere with transport or binding of phallotoxins to the liver."
1135512,Biochemical and Immunological studies have been made on streptokinase and its one to one molar complex with plasminogen. These experiments show that the complex is not recognized by antibodies to streptokinase. The potential of using this complex in vivo to avoid febrile response seen with streptokinase is considered.
1135513,"An inhibitor and stimulator of in vitro hepatic fatty acid synthesis are present in renal microsomes. In addition, a stimulator of fatty acid synthesis is present in renal lysosomes. Renal microsomal inhibition of hepatic fatty acid synthesis is not due to the depletion of cofactors in the system. This inhibitor appears to be located exclusively in the kidney medullary microsomes. It is destroyed by Pronase and heat treatment suggesting it may be a protein. Its effects on fatty acid synthesis may be attributed in part to ATPase activity as well as a direct effect on the hepatic fatty acid synthesizing system. A stimulator of hepatic fatty acid synthesis is present in the buffer insoluble fraction of an acetone powder preparation of renal microsomes. This stimulator is relatively heat labile and does not appear to be a phospholipid. The lysosomal stimulator of hepatic fatty acid synthesis is associated with the contents of renal lysosomes and not with the lysosomal membranes. It acts at the acetyl-CoA carboxylase step and its activity is not affected by fasting or aminonucleoside induced nephrosis."
1135514,"The effects of chronic clofibrate administration were studied in long-term ethanol-fed an control mice. Long-term administration of ethanol to adult-mice resulted in an increase in liver and plasma total triglycerides and hepatic cholesterol levels as compared to the corresponding controls. Cloribrate feeding resulted in about 15-25% decrease in hepatic and plasma cholesterol levels in the ethanol-fed group. The administration of ethanol led to a rise in levels of hepatic triglycerides, plasma triglycerides, plasma free fatty acids and hepatic alpha-glycerophosphate. Treatment with clofibrate partially prevented the changes in the concentration of these metabolites and resulted in a significant increase in the activity of hepatic alpha-glycerophosphate dehydrogenase. Clofibrate administration resulted in about 20% increase in the rate of 14-C-cholesterol oxidation to 14-CO2. It is concluded that while clofibrate is able to retard ethanol-induced lipid accumulation in the liver, it is unable to completely prevent hepatic lipid accumulation."
1135515,"Jejunal and ileal intestinal segments were obtained from patients undergoing laparotomy, from peroral jejunal biopsies, and from fresh cadavers. The excised mucosa was weighed and assayed for total lipids, neutral and polar lipids. The lipid families were separated and identified, and their individual fatty acid composition determined. In addition, DNA, RNA, collagen and total protein were measured."
